causa_def|base_code|cod_group
D128|D12|Residual causes
D640|D64|Residual causes
L102|L10|Residual causes
X370|X37|Residual causes
X379|X37|Residual causes
Q615|Q61|Residual causes
X917|X91|Homicides
Q386|Q38|Residual causes
D099|D09|Residual causes
V636|V63|Road traffic accidents
Y102|Y10|Residual causes
Q385|Q38|Residual causes
P591|P59|Amenable to medical services
G961|G96|Residual causes
I309|I30|Residual causes
W124|W12|Residual causes
O300|O30|Amenable to medical services
N069|N06|Amenable to medical services
E748|E74|Residual causes
B678|B67|Residual causes
Q915|Q91|Residual causes
G528|G52|Residual causes
X232|X23|Residual causes
E720|E72|Residual causes
E730|E73|Residual causes
N488|N48|Residual causes
Y576|Y57|Residual causes
G529|G52|Residual causes
J678|J67|Amenable to medical services
W892|W89|Residual causes
W856|W85|Residual causes
W845|W84|Residual causes
B441|B44|Residual causes
W187|W18|Residual causes
Y305|Y30|Residual causes
P101|P10|Amenable to medical services
V948|V94|Road traffic accidents
O000|O00|Amenable to medical services
W685|W68|Residual causes
O714|O71|Amenable to medical services
W185|W18|Residual causes
K702|K70|Cirrhosis
I208|I20|Ischemic Heart Diseases
Q420|Q42|Residual causes
X050|X05|Residual causes
V569|V56|Road traffic accidents
X258|X25|Residual causes
P914|P91|Amenable to medical services
E268|E26|Residual causes
Y031|Y03|Homicides
V577|V57|Road traffic accidents
L88X|L88|Residual causes
A164|A16|Amenable to medical services
I631|I63|Amenable to medical services
O211|O21|Amenable to medical services
X039|X03|Residual causes
N819|N81|Residual causes
X378|X37|Residual causes
M318|M31|Residual causes
V456|V45|Road traffic accidents
W703|W70|Residual causes
V875|V87|Road traffic accidents
M319|M31|Residual causes
X739|X73|Residual causes
I670|I67|Amenable to medical services
W250|W25|Residual causes
R073|R07|Residual causes
A409|A40|Amenable to medical services
D692|D69|Residual causes
O757|O75|Amenable to medical services
D332|D33|Residual causes
N948|N94|Residual causes
O11X|O11|Amenable to medical services
C185|C18|Amenable to medical services
Q998|Q99|Residual causes
N805|N80|Residual causes
C153|C15|Residual causes
J701|J70|Amenable to medical services
D720|D72|Residual causes
O368|O36|Amenable to medical services
M431|M43|Residual causes
R560|R56|Residual causes
W219|W21|Residual causes
C468|C46|Residual causes
V900|V90|Road traffic accidents
K603|K60|Residual causes
I254|I25|Ischemic Heart Diseases
I241|I24|Ischemic Heart Diseases
B429|B42|Residual causes
X754|X75|Residual causes
Q868|Q86|Residual causes
C341|C34|Lung cancer
O709|O70|Amenable to medical services
C630|C63|Residual causes
X892|X89|Homicides
L020|L02|Residual causes
J380|J38|Residual causes
D519|D51|Residual causes
Y146|Y14|Residual causes
A55X|A55|Amenable to medical services
B487|B48|Residual causes
V912|V91|Road traffic accidents
O460|O46|Amenable to medical services
W279|W27|Residual causes
F170|F17|Residual causes
X394|X39|Residual causes
V807|V80|Road traffic accidents
C023|C02|Residual causes
E078|E07|Amenable to medical services
X496|X49|Residual causes
Y110|Y11|Residual causes
G310|G31|Residual causes
P518|P51|Amenable to medical services
X091|X09|Residual causes
E538|E53|Residual causes
X465|X46|Residual causes
V863|V86|Road traffic accidents
C388|C38|Residual causes
E858|E85|Residual causes
X304|X30|Residual causes
X274|X27|Residual causes
W868|W86|Residual causes
V814|V81|Road traffic accidents
J840|J84|Amenable to medical services
X654|X65|Residual causes
V584|V58|Road traffic accidents
F189|F18|Residual causes
A669|A66|Amenable to medical services
X216|X21|Residual causes
X068|X06|Residual causes
V929|V92|Road traffic accidents
F162|F16|Residual causes
K281|K28|Residual causes
F259|F25|Residual causes
P111|P11|Amenable to medical services
V759|V75|Road traffic accidents
X269|X26|Residual causes
V469|V46|Road traffic accidents
W597|W59|Residual causes
W754|W75|Residual causes
V230|V23|Road traffic accidents
W758|W75|Residual causes
I677|I67|Amenable to medical services
O064|O06|Amenable to medical services
W030|W03|Residual causes
Q770|Q77|Residual causes
D059|D05|Residual causes
Y598|Y59|Residual causes
D384|D38|Residual causes
E740|E74|Residual causes
O049|O04|Amenable to medical services
V905|V90|Road traffic accidents
P371|P37|Amenable to medical services
P760|P76|Amenable to medical services
W268|W26|Residual causes
W873|W87|Residual causes
W506|W50|Residual causes
X504|X50|Residual causes
D049|D04|Residual causes
W306|W30|Residual causes
X487|X48|Residual causes
B839|B83|Residual causes
V481|V48|Road traffic accidents
X100|X10|Residual causes
W202|W20|Residual causes
C158|C15|Residual causes
H050|H05|Residual causes
O873|O87|Amenable to medical services
X414|X41|Residual causes
F159|F15|Residual causes
Y042|Y04|Homicides
C741|C74|Residual causes
X615|X61|Residual causes
C945|C94|Amenable to medical services
G909|G90|Residual causes
W218|W21|Residual causes
V922|V92|Road traffic accidents
C725|C72|Residual causes
W379|W37|Residual causes
K753|K75|Residual causes
D740|D74|Residual causes
Q758|Q75|Residual causes
V973|V97|Road traffic accidents
Y188|Y18|Residual causes
V923|V92|Road traffic accidents
B780|B78|Residual causes
Q539|Q53|Residual causes
X750|X75|Residual causes
W392|W39|Residual causes
W376|W37|Residual causes
W201|W20|Residual causes
O060|O06|Amenable to medical services
W816|W81|Residual causes
O008|O00|Amenable to medical services
B879|B87|Residual causes
W843|W84|Residual causes
O904|O90|Amenable to medical services
W857|W85|Residual causes
X997|X99|Homicides
W834|W83|Residual causes
X344|X34|Residual causes
B230|B23|Residual causes
P378|P37|Amenable to medical services
K251|K25|Amenable to medical services
P541|P54|Amenable to medical services
Y242|Y24|Residual causes
Y207|Y20|Residual causes
G832|G83|Residual causes
F122|F12|Residual causes
B270|B27|Residual causes
B463|B46|Residual causes
M949|M94|Residual causes
B279|B27|Residual causes
G400|G40|Amenable to medical services
I845|I84|Residual causes
C941|C94|Amenable to medical services
Y203|Y20|Residual causes
B778|B77|Residual causes
X685|X68|Residual causes
V808|V80|Road traffic accidents
V534|V53|Road traffic accidents
X328|X32|Residual causes
C912|C91|Amenable to medical services
D151|D15|Residual causes
G609|G60|Residual causes
O071|O07|Amenable to medical services
L52X|L52|Residual causes
C752|C75|Residual causes
W672|W67|Residual causes
P119|P11|Amenable to medical services
X019|X01|Residual causes
Y319|Y31|Residual causes
I201|I20|Ischemic Heart Diseases
F432|F43|Residual causes
C631|C63|Residual causes
L139|L13|Residual causes
I800|I80|Residual causes
G500|G50|Residual causes
Q812|Q81|Residual causes
H547|H54|Residual causes
W203|W20|Residual causes
B268|B26|Residual causes
K763|K76|Residual causes
C675|C67|Amenable to medical services
C488|C48|Residual causes
V543|V54|Road traffic accidents
B761|B76|Residual causes
X359|X35|Residual causes
X150|X15|Residual causes
I745|I74|Residual causes
V634|V63|Road traffic accidents
D130|D13|Residual causes
P570|P57|Amenable to medical services
X707|X70|Residual causes
F220|F22|Residual causes
N501|N50|Residual causes
W599|W59|Residual causes
X004|X00|Residual causes
X084|X08|Residual causes
Y205|Y20|Residual causes
W290|W29|Residual causes
Q652|Q65|Residual causes
X029|X02|Residual causes
J321|J32|Residual causes
W401|W40|Residual causes
K570|K57|Residual causes
O318|O31|Amenable to medical services
M303|M30|Residual causes
L948|L94|Residual causes
N813|N81|Residual causes
L104|L10|Residual causes
X626|X62|Residual causes
A820|A82|Residual causes
A500|A50|Amenable to medical services
E568|E56|Residual causes
A590|A59|Amenable to medical services
B150|B15|Amenable to medical services
Y600|Y60|Amenable to medical services
X549|X54|Residual causes
I372|I37|Residual causes
M628|M62|Residual causes
Q322|Q32|Residual causes
W163|W16|Residual causes
X610|X61|Residual causes
C150|C15|Residual causes
V272|V27|Road traffic accidents
V244|V24|Road traffic accidents
K510|K51|Residual causes
E065|E06|Amenable to medical services
X538|X53|Residual causes
A812|A81|Residual causes
D684|D68|Residual causes
V491|V49|Road traffic accidents
O660|O66|Amenable to medical services
K602|K60|Residual causes
P613|P61|Amenable to medical services
E240|E24|Residual causes
Q776|Q77|Residual causes
D596|D59|Residual causes
W890|W89|Residual causes
K286|K28|Residual causes
X044|X04|Residual causes
E509|E50|Residual causes
X922|X92|Homicides
J324|J32|Residual causes
V159|V15|Road traffic accidents
H350|H35|Residual causes
J028|J02|Amenable to medical services
C430|C43|Amenable to medical services
M190|M19|Residual causes
V685|V68|Road traffic accidents
V285|V28|Road traffic accidents
W693|W69|Residual causes
V546|V54|Road traffic accidents
D313|D31|Residual causes
M059|M05|Residual causes
O662|O66|Amenable to medical services
V545|V54|Road traffic accidents
V245|V24|Road traffic accidents
Y458|Y45|Residual causes
N859|N85|Residual causes
F840|F84|Residual causes
M180|M18|Residual causes
Y455|Y45|Residual causes
V746|V74|Road traffic accidents
X438|X43|Residual causes
Q632|Q63|Residual causes
D733|D73|Residual causes
J019|J01|Amenable to medical services
X475|X47|Residual causes
X262|X26|Residual causes
Y145|Y14|Residual causes
J118|J11|Amenable to medical services
A160|A16|Amenable to medical services
F113|F11|Residual causes
B380|B38|Residual causes
N738|N73|Residual causes
P258|P25|Amenable to medical services
E169|E16|Residual causes
D449|D44|Residual causes
K068|K06|Residual causes
W029|W02|Residual causes
W513|W51|Residual causes
Y708|Y70|Residual causes
A051|A05|Amenable to medical services
Y314|Y31|Residual causes
D300|D30|Residual causes
A081|A08|Amenable to medical services
H269|H26|Residual causes
X664|X66|Residual causes
C000|C00|Residual causes
I889|I88|Residual causes
W735|W73|Residual causes
O758|O75|Amenable to medical services
X609|X60|Residual causes
V943|V94|Road traffic accidents
V470|V47|Road traffic accidents
V492|V49|Road traffic accidents
X404|X40|Residual causes
X418|X41|Residual causes
M052|M05|Residual causes
C508|C50|Amenable to medical services
X898|X89|Homicides
Q529|Q52|Residual causes
C253|C25|Residual causes
V978|V97|Road traffic accidents
X160|X16|Residual causes
K700|K70|Cirrhosis
Q360|Q36|Residual causes
V782|V78|Road traffic accidents
Y070|Y07|Homicides
C790|C79|Residual causes
N000|N00|Amenable to medical services
I440|I44|Residual causes
V952|V95|Road traffic accidents
V405|V40|Road traffic accidents
N110|N11|Residual causes
Q371|Q37|Residual causes
Q351|Q35|Residual causes
X246|X24|Residual causes
P230|P23|Amenable to medical services
Y619|Y61|Amenable to medical services
W236|W23|Residual causes
V703|V70|Road traffic accidents
R160|R16|Residual causes
R34X|R34|Residual causes
Q060|Q06|Residual causes
E760|E76|Residual causes
J030|J03|Amenable to medical services
Y150|Y15|Residual causes
P009|P00|Amenable to medical services
P071|P07|Amenable to medical services
A527|A52|Amenable to medical services
R066|R06|Residual causes
O038|O03|Amenable to medical services
C031|C03|Residual causes
C608|C60|Residual causes
O624|O62|Amenable to medical services
O468|O46|Amenable to medical services
X916|X91|Homicides
W763|W76|Residual causes
R450|R45|Residual causes
R600|R60|Residual causes
M798|M79|Residual causes
N412|N41|Residual causes
A163|A16|Amenable to medical services
O649|O64|Amenable to medical services
R190|R19|Residual causes
A238|A23|Amenable to medical services
I409|I40|Residual causes
C632|C63|Residual causes
C178|C17|Residual causes
W805|W80|Residual causes
V839|V83|Road traffic accidents
E237|E23|Residual causes
X518|X51|Residual causes
I446|I44|Residual causes
G040|G04|Residual causes
W320|W32|Residual causes
W370|W37|Residual causes
W406|W40|Residual causes
W869|W86|Residual causes
K598|K59|Residual causes
K441|K44|Amenable to medical services
J702|J70|Amenable to medical services
K521|K52|Residual causes
M179|M17|Residual causes
V870|V87|Road traffic accidents
P365|P36|Amenable to medical services
A539|A53|Amenable to medical services
E210|E21|Residual causes
X458|X45|Residual causes
M840|M84|Residual causes
N111|N11|Residual causes
W341|W34|Residual causes
W548|W54|Residual causes
M939|M93|Residual causes
K580|K58|Residual causes
J430|J43|Amenable to medical services
B569|B56|Residual causes
O243|O24|Amenable to medical services
K520|K52|Residual causes
J391|J39|Amenable to medical services
F201|F20|Residual causes
H600|H60|Residual causes
K621|K62|Residual causes
E063|E06|Amenable to medical services
X017|X01|Residual causes
C060|C06|Residual causes
D119|D11|Residual causes
B86X|B86|Residual causes
B573|B57|Residual causes
O220|O22|Amenable to medical services
O234|O23|Amenable to medical services
P029|P02|Amenable to medical services
E040|E04|Amenable to medical services
B020|B02|Residual causes
X398|X39|Residual causes
O985|O98|Amenable to medical services
B458|B45|Residual causes
W747|W74|Residual causes
E270|E27|Residual causes
O120|O12|Amenable to medical services
E852|E85|Residual causes
Y184|Y18|Residual causes
W388|W38|Residual causes
C342|C34|Lung cancer
H440|H44|Residual causes
D200|D20|Residual causes
V876|V87|Road traffic accidents
Q280|Q28|Amenable to medical services
P521|P52|Amenable to medical services
Y405|Y40|Residual causes
W093|W09|Residual causes
N800|N80|Residual causes
V229|V22|Road traffic accidents
Y601|Y60|Amenable to medical services
W359|W35|Residual causes
W793|W79|Residual causes
W683|W68|Residual causes
A428|A42|Residual causes
D351|D35|Residual causes
C754|C75|Residual causes
Y160|Y16|Residual causes
M464|M46|Residual causes
Q645|Q64|Residual causes
D437|D43|Residual causes
P232|P23|Amenable to medical services
Q402|Q40|Residual causes
D201|D20|Residual causes
M082|M08|Residual causes
Y093|Y09|Homicides
X799|X79|Residual causes
Q281|Q28|Amenable to medical services
C836|C83|Residual causes
G128|G12|Residual causes
R36X|R36|Residual causes
X331|X33|Residual causes
B698|B69|Amenable to medical services
Y216|Y21|Residual causes
B000|B00|Residual causes
N816|N81|Residual causes
Y001|Y00|Homicides
J668|J66|Amenable to medical services
X678|X67|Residual causes
X038|X03|Residual causes
Y830|Y83|Amenable to medical services
B338|B33|Residual causes
I213|I21|Ischemic Heart Diseases
N801|N80|Residual causes
A220|A22|Amenable to medical services
V859|V85|Road traffic accidents
N920|N92|Residual causes
M478|M47|Residual causes
F011|F01|Residual causes
E750|E75|Residual causes
P268|P26|Amenable to medical services
V440|V44|Road traffic accidents
F439|F43|Residual causes
C782|C78|Residual causes
C570|C57|Residual causes
V240|V24|Road traffic accidents
A600|A60|Amenable to medical services
I722|I72|Residual causes
N137|N13|Residual causes
I370|I37|Residual causes
B393|B39|Residual causes
C409|C40|Residual causes
B343|B34|Residual causes
Q428|Q42|Residual causes
M472|M47|Residual causes
M839|M83|Residual causes
Y290|Y29|Residual causes
M942|M94|Residual causes
J940|J94|Amenable to medical services
E001|E00|Amenable to medical services
I452|I45|Residual causes
C843|C84|Residual causes
G110|G11|Residual causes
G902|G90|Residual causes
D839|D83|Residual causes
C811|C81|Amenable to medical services
D683|D68|Residual causes
D321|D32|Residual causes
N053|N05|Amenable to medical services
N342|N34|Residual causes
P509|P50|Amenable to medical services
C822|C82|Residual causes
V536|V53|Road traffic accidents
Q332|Q33|Residual causes
K717|K71|Residual causes
G000|G00|Residual causes
M600|M60|Residual causes
D561|D56|Residual causes
G360|G36|Residual causes
J689|J68|Amenable to medical services
J160|J16|Amenable to medical services
P113|P11|Amenable to medical services
B258|B25|Residual causes
Q323|Q32|Residual causes
E160|E16|Residual causes
B559|B55|Residual causes
O97X|O97|Amenable to medical services
D588|D58|Residual causes
F141|F14|Residual causes
Y315|Y31|Residual causes
E236|E23|Residual causes
B172|B17|Amenable to medical services
I088|I08|Amenable to medical services
E722|E72|Residual causes
Y281|Y28|Residual causes
W647|W64|Residual causes
Q242|Q24|Amenable to medical services
O344|O34|Amenable to medical services
F790|F79|Residual causes
W226|W22|Residual causes
C693|C69|Amenable to medical services
F202|F20|Residual causes
C061|C06|Residual causes
B457|B45|Residual causes
I738|I73|Residual causes
Q288|Q28|Amenable to medical services
N251|N25|Amenable to medical services
X126|X12|Residual causes
Y845|Y84|Amenable to medical services
X244|X24|Residual causes
C540|C54|Residual causes
K613|K61|Residual causes
B341|B34|Residual causes
Q270|Q27|Amenable to medical services
M508|M50|Residual causes
H058|H05|Residual causes
Q933|Q93|Residual causes
A329|A32|Amenable to medical services
P789|P78|Amenable to medical services
C820|C82|Residual causes
Q453|Q45|Residual causes
W105|W10|Residual causes
Y086|Y08|Homicides
Q642|Q64|Residual causes
I423|I42|Residual causes
C931|C93|Amenable to medical services
B583|B58|Residual causes
Q331|Q33|Residual causes
Y844|Y84|Amenable to medical services
X108|X10|Residual causes
W169|W16|Residual causes
W020|W02|Residual causes
I361|I36|Residual causes
G908|G90|Residual causes
M165|M16|Residual causes
A065|A06|Amenable to medical services
N839|N83|Residual causes
Q773|Q77|Residual causes
X422|X42|Residual causes
V020|V02|Road traffic accidents
X703|X70|Residual causes
B373|B37|Residual causes
D618|D61|Residual causes
N828|N82|Residual causes
A328|A32|Amenable to medical services
V824|V82|Road traffic accidents
W078|W07|Residual causes
D890|D89|Residual causes
M866|M86|Residual causes
P831|P83|Amenable to medical services
Q916|Q91|Residual causes
K824|K82|Residual causes
N418|N41|Residual causes
G619|G61|Residual causes
J206|J20|Amenable to medical services
D104|D10|Residual causes
D473|D47|Residual causes
N320|N32|Residual causes
B082|B08|Residual causes
N051|N05|Amenable to medical services
E123|E12|Diabetes
F341|F34|Residual causes
E804|E80|Residual causes
K121|K12|Residual causes
A449|A44|Residual causes
O268|O26|Amenable to medical services
X967|X96|Homicides
X660|X66|Residual causes
F107|F10|Residual causes
C475|C47|Residual causes
M023|M02|Residual causes
Q519|Q51|Residual causes
Q069|Q06|Residual causes
W643|W64|Residual causes
X006|X00|Residual causes
C381|C38|Residual causes
F010|F01|Residual causes
H109|H10|Residual causes
Q782|Q78|Residual causes
O717|O71|Amenable to medical services
W781|W78|Residual causes
V694|V69|Road traffic accidents
Q811|Q81|Residual causes
R31X|R31|Residual causes
V425|V42|Road traffic accidents
X926|X92|Homicides
W374|W37|Residual causes
W380|W38|Residual causes
C476|C47|Residual causes
Q030|Q03|Residual causes
Q900|Q90|Residual causes
Q432|Q43|Residual causes
F183|F18|Residual causes
G810|G81|Residual causes
X874|X87|Homicides
X049|X04|Residual causes
Q045|Q04|Residual causes
F410|F41|Residual causes
K635|K63|Residual causes
W396|W39|Residual causes
X691|X69|Residual causes
W274|W27|Residual causes
M316|M31|Residual causes
G833|G83|Residual causes
V444|V44|Road traffic accidents
X012|X01|Residual causes
D135|D13|Residual causes
F109|F10|Residual causes
B221|B22|Residual causes
D166|D16|Residual causes
C223|C22|Residual causes
E328|E32|Residual causes
D354|D35|Residual causes
Q522|Q52|Residual causes
W317|W31|Residual causes
W034|W03|Residual causes
A799|A79|Residual causes
K282|K28|Residual causes
N143|N14|Residual causes
Q437|Q43|Residual causes
Y061|Y06|Homicides
G933|G93|Residual causes
X645|X64|Residual causes
G801|G80|Residual causes
W899|W89|Residual causes
W133|W13|Residual causes
V822|V82|Road traffic accidents
Q768|Q76|Residual causes
H810|H81|Residual causes
G218|G21|Residual causes
V535|V53|Road traffic accidents
W214|W21|Residual causes
C543|C54|Residual causes
K627|K62|Residual causes
X927|X92|Homicides
G113|G11|Residual causes
O046|O04|Amenable to medical services
D109|D10|Residual causes
X270|X27|Residual causes
K381|K38|Amenable to medical services
L138|L13|Residual causes
V192|V19|Road traffic accidents
I401|I40|Residual causes
J156|J15|Amenable to medical services
X290|X29|Residual causes
X158|X15|Residual causes
E319|E31|Residual causes
J155|J15|Amenable to medical services
F132|F13|Residual causes
R13X|R13|Residual causes
B902|B90|Amenable to medical services
X476|X47|Residual causes
C889|C88|Residual causes
E260|E26|Residual causes
B250|B25|Residual causes
N820|N82|Residual causes
N825|N82|Residual causes
E779|E77|Residual causes
Y230|Y23|Residual causes
K901|K90|Residual causes
R500|R50|Residual causes
D729|D72|Residual causes
Q524|Q52|Residual causes
D001|D00|Residual causes
V349|V34|Road traffic accidents
R060|R06|Residual causes
Y229|Y22|Residual causes
A880|A88|Residual causes
I950|I95|Residual causes
E135|E13|Diabetes
L921|L92|Residual causes
V829|V82|Road traffic accidents
H830|H83|Residual causes
Q450|Q45|Residual causes
E320|E32|Residual causes
W831|W83|Residual causes
W741|W74|Residual causes
M861|M86|Residual causes
K262|K26|Amenable to medical services
F419|F41|Residual causes
W690|W69|Residual causes
P379|P37|Amenable to medical services
W598|W59|Residual causes
A523|A52|Amenable to medical services
P242|P24|Amenable to medical services
E882|E88|Residual causes
C620|C62|Amenable to medical services
W296|W29|Residual causes
C881|C88|Residual causes
D127|D12|Residual causes
R230|R23|Residual causes
E212|E21|Residual causes
Q111|Q11|Residual causes
V779|V77|Road traffic accidents
P588|P58|Amenable to medical services
P023|P02|Amenable to medical services
E071|E07|Amenable to medical services
V774|V77|Road traffic accidents
A083|A08|Amenable to medical services
G600|G60|Residual causes
Y640|Y64|Amenable to medical services
P359|P35|Amenable to medical services
Q172|Q17|Residual causes
N219|N21|Residual causes
Y788|Y78|Residual causes
R32X|R32|Residual causes
H71X|H71|Residual causes
B09X|B09|Residual causes
O629|O62|Amenable to medical services
R198|R19|Residual causes
Y842|Y84|Amenable to medical services
X668|X66|Residual causes
O40X|O40|Amenable to medical services
C382|C38|Residual causes
W350|W35|Residual causes
N002|N00|Amenable to medical services
D287|D28|Residual causes
B060|B06|Amenable to medical services
W000|W00|Residual causes
W089|W08|Residual causes
P044|P04|Amenable to medical services
X010|X01|Residual causes
W289|W28|Residual causes
I281|I28|Residual causes
O702|O70|Amenable to medical services
C451|C45|Residual causes
W669|W66|Residual causes
A70X|A70|Amenable to medical services
D331|D33|Residual causes
C460|C46|Residual causes
M060|M06|Residual causes
X477|X47|Residual causes
W695|W69|Residual causes
Y882|Y88|Residual causes
Q064|Q06|Residual causes
V932|V93|Road traffic accidents
C577|C57|Residual causes
I379|I37|Residual causes
V841|V84|Road traffic accidents
J320|J32|Residual causes
C004|C00|Residual causes
L959|L95|Residual causes
A058|A05|Amenable to medical services
N824|N82|Residual causes
O621|O62|Amenable to medical services
F412|F41|Residual causes
E539|E53|Residual causes
E834|E83|Residual causes
E211|E21|Residual causes
X199|X19|Residual causes
Y051|Y05|Homicides
F173|F17|Residual causes
X759|X75|Residual causes
B75X|B75|Residual causes
W114|W11|Residual causes
W664|W66|Residual causes
B450|B45|Residual causes
B468|B46|Residual causes
D749|D74|Residual causes
F068|F06|Residual causes
K515|K51|Residual causes
M793|M79|Residual causes
N850|N85|Residual causes
O101|O10|Amenable to medical services
V593|V59|Road traffic accidents
V783|V78|Road traffic accidents
V813|V81|Road traffic accidents
V862|V86|Road traffic accidents
X294|X29|Residual causes
X298|X29|Residual causes
X548|X54|Residual causes
X854|X85|Homicides
Y484|Y48|Residual causes
X009|X00|Residual causes
V140|V14|Road traffic accidents
P109|P10|Amenable to medical services
W345|W34|Residual causes
W384|W38|Residual causes
D411|D41|Residual causes
V232|V23|Road traffic accidents
Q241|Q24|Amenable to medical services
W847|W84|Residual causes
X207|X20|Residual causes
V915|V91|Road traffic accidents
V193|V19|Road traffic accidents
W337|W33|Residual causes
J300|J30|Residual causes
X650|X65|Residual causes
F131|F13|Residual causes
E032|E03|Amenable to medical services
O328|O32|Amenable to medical services
E755|E75|Residual causes
V791|V79|Road traffic accidents
V949|V94|Road traffic accidents
N178|N17|Amenable to medical services
Y003|Y00|Homicides
W836|W83|Residual causes
V695|V69|Road traffic accidents
X674|X67|Residual causes
M938|M93|Residual causes
W539|W53|Residual causes
E881|E88|Residual causes
D215|D21|Residual causes
W594|W59|Residual causes
N812|N81|Residual causes
N912|N91|Residual causes
P584|P58|Amenable to medical services
F187|F18|Residual causes
Q310|Q31|Residual causes
Y139|Y13|Residual causes
W512|W51|Residual causes
Y215|Y21|Residual causes
Y557|Y55|Residual causes
Q421|Q42|Residual causes
M800|M80|Residual causes
K044|K04|Residual causes
O221|O22|Amenable to medical services
C714|C71|Residual causes
A153|A15|Residual causes
R21X|R21|Residual causes
P235|P23|Amenable to medical services
M998|M99|Residual causes
W761|W76|Residual causes
Q643|Q64|Residual causes
P019|P01|Amenable to medical services
F079|F07|Residual causes
X324|X32|Residual causes
X481|X48|Residual causes
G407|G40|Amenable to medical services
F842|F84|Residual causes
G900|G90|Residual causes
D470|D47|Residual causes
M510|M51|Residual causes
D237|D23|Residual causes
A91X|A91|Residual causes
K834|K83|Residual causes
A191|A19|Amenable to medical services
N312|N31|Residual causes
W608|W60|Residual causes
A067|A06|Amenable to medical services
V235|V23|Road traffic accidents
V565|V56|Road traffic accidents
Y575|Y57|Residual causes
Y833|Y83|Amenable to medical services
X630|X63|Residual causes
D460|D46|Residual causes
G718|G71|Residual causes
A398|A39|Residual causes
X491|X49|Residual causes
L209|L20|Residual causes
B54X|B54|Residual causes
E832|E83|Residual causes
N851|N85|Residual causes
C081|C08|Residual causes
D021|D02|Residual causes
W692|W69|Residual causes
A038|A03|Amenable to medical services
Y483|Y48|Residual causes
V450|V45|Road traffic accidents
B509|B50|Residual causes
Y846|Y84|Amenable to medical services
Y068|Y06|Homicides
X421|X42|Residual causes
B882|B88|Residual causes
E215|E21|Residual causes
X408|X40|Residual causes
X628|X62|Residual causes
K751|K75|Residual causes
M948|M94|Residual causes
V060|V06|Road traffic accidents
D033|D03|Residual causes
X218|X21|Residual causes
V419|V41|Road traffic accidents
A870|A87|Residual causes
W327|W32|Residual causes
I605|I60|Amenable to medical services
X768|X76|Residual causes
X764|X76|Residual causes
Y028|Y02|Homicides
V693|V69|Road traffic accidents
W254|W25|Residual causes
J383|J38|Residual causes
P544|P54|Amenable to medical services
P540|P54|Amenable to medical services
M796|M79|Residual causes
H659|H65|Residual causes
Q988|Q98|Residual causes
R227|R22|Residual causes
H449|H44|Residual causes
O439|O43|Amenable to medical services
B73X|B73|Residual causes
B749|B74|Residual causes
Q374|Q37|Residual causes
I308|I30|Residual causes
X472|X47|Residual causes
G474|G47|Residual causes
I823|I82|Residual causes
O718|O71|Amenable to medical services
Q272|Q27|Amenable to medical services
F163|F16|Residual causes
V951|V95|Road traffic accidents
X810|X81|Residual causes
B581|B58|Residual causes
C600|C60|Residual causes
X580|X58|Residual causes
K317|K31|Residual causes
R091|R09|Residual causes
D174|D17|Residual causes
K508|K50|Residual causes
R591|R59|Residual causes
Y007|Y00|Homicides
E282|E28|Residual causes
Q001|Q00|Residual causes
X297|X29|Residual causes
F204|F20|Residual causes
D641|D64|Residual causes
B740|B74|Residual causes
M511|M51|Residual causes
W017|W01|Residual causes
G121|G12|Residual causes
M461|M46|Residual causes
Y728|Y72|Residual causes
W733|W73|Residual causes
F147|F14|Residual causes
G701|G70|Residual causes
M419|M41|Residual causes
G820|G82|Residual causes
W103|W10|Residual causes
D232|D23|Residual causes
B679|B67|Residual causes
X618|X61|Residual causes
V826|V82|Road traffic accidents
V259|V25|Road traffic accidents
D551|D55|Residual causes
P390|P39|Amenable to medical services
I072|I07|Amenable to medical services
D281|D28|Residual causes
W123|W12|Residual causes
D461|D46|Residual causes
X734|X73|Residual causes
W013|W01|Residual causes
O363|O36|Amenable to medical services
V679|V67|Road traffic accidents
O710|O71|Amenable to medical services
M545|M54|Residual causes
P110|P11|Amenable to medical services
D051|D05|Residual causes
D097|D09|Residual causes
W157|W15|Residual causes
F203|F20|Residual causes
V591|V59|Road traffic accidents
W701|W70|Residual causes
I450|I45|Residual causes
E329|E32|Residual causes
W503|W50|Residual causes
K528|K52|Residual causes
X788|X78|Residual causes
X839|X83|Residual causes
E233|E23|Residual causes
G114|G11|Residual causes
B440|B44|Residual causes
K741|K74|Residual causes
R220|R22|Residual causes
Y241|Y24|Residual causes
B447|B44|Residual causes
Q873|Q87|Residual causes
D860|D86|Residual causes
V224|V22|Road traffic accidents
V835|V83|Road traffic accidents
C408|C40|Residual causes
O870|O87|Amenable to medical services
B459|B45|Residual causes
G708|G70|Residual causes
B387|B38|Residual causes
E702|E70|Residual causes
G702|G70|Residual causes
P582|P58|Amenable to medical services
X388|X38|Residual causes
G308|G30|Residual causes
Q314|Q31|Residual causes
V555|V55|Road traffic accidents
V556|V55|Road traffic accidents
Y731|Y73|Residual causes
K056|K05|Residual causes
J202|J20|Amenable to medical services
Y278|Y27|Residual causes
N031|N03|Amenable to medical services
Y206|Y20|Residual causes
Y047|Y04|Homicides
Y259|Y25|Residual causes
X802|X80|Residual causes
D417|D41|Residual causes
Q271|Q27|Amenable to medical services
D814|D81|Residual causes
I842|I84|Residual causes
